id,type,text1,text2,text3,text4,notes
,,,,,,
#Hulls,,,,,,
mkx_skirmish_unit,SHIP,"Closest match found to archive entry for ""Iklwa""-class frigate, 54.38% confidence. Querying database... ""Agile and, once Armada doctrine matured to the new conditions of the Aquila Brigands' Rebellion, the ubiquitous Iklwa formed the- DOMAIN INFOSEC VIOLATION THRESHOLD WARNING ALERT
// datastream resetting...

-costly embarrassment at Van Maanen's Star was only the proverbial last rod before criticality. Public outrage at all levels led to the opening of investigation into senior- ERROR // -shall not back down, we shall never withdraw. From the Belt of Orion to the Polaris Frontier, from- FATAL ACCESS ERROR // 

This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
mkx_shephard_unit,SHIP,"Closest match found to archive entry for ""Shepherd""-class frigate, 82.14% confidence. Querying database... DOMAIN INFOSEC VIOLATION THRESHOLD WARNING ALERT
// datastream resetting… This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
mkx_skipper_unit,SHIP,"Closest match found to archive entry for [[ERROR]] . Querying database... DOMAIN INFOSEC VIOLATION THRESHOLD WARNING ALERT
// datastream resetting… This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
mkx_wulf_unit,SHIP,"Closest match found to archive entry for ""Wolf""-class frigate, 72.28% confidence. Querying database... DOMAIN INFOSEC VIOLATION THRESHOLD WARNING ALERT
// datastream resetting… This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
,,,,,,
mkx_overseer_unit,SHIP,"Closest match found to archive entry for ""Fulgurite""-class frontier support cruiser, 53.03% confidence. Querying database... ""A standout of Orion Shipyards design in the post-'Emerald Age' exodus, this frontier-rated utility platform featured a spinal-mount microwave emitter modulated for orbit-to- DOMAIN INFOSEC VIOLATION THRESHOLD WARNING
// datastream resetting...

-and she said ""Let the forges bloom in our Human Domain; so be crowned in the wealth and glory of a thousand stars!"" Although the quote is attributed to- ERROR // -the Terran Core to the Sadr Region, our battlegroups stand ready to protect our way of life, our very existence!"" FATAL ACCESS ERROR //

This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
mkx_assault_unit,SHIP,"Closest match found to archive entry for ""Erebid""-class destroyer (recategorized), 43.87% confidence. Querying database... ""Armada leadership, most of whom escaped direct prosecution via the 'Grey Wave' which saw nearly four hundred senior officers resign fro- DOMAIN INFOSEC VIOLATION THRESHOLD WARNING
// datastream resetting...

-of the Interstellar Quality and Design Assurance Reforms - a series of acts passed over an energetic dozen cycles by the representative body of the Human Domain and only so-called by later historians - which build the legal basis for sweeping enforcement of fabrication rights management (henceforth- FATAL ACCESS ERROR //

This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
mkx_boffalo_unit,SHIP,"Closest match found to archive entry for ""Buffalo""-class destroyer, 73.83% confidence. Querying database... DOMAIN INFOSEC VIOLATION THRESHOLD WARNING ALERT
// datastream resetting… This TriPad is not authorized to provide additional description for the requested product ID. Please upgrade your data permission level in compliance with Domain Information Security Standards.",,,,
